antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'2.0', '12.0', 'Yes'})",frozenset({'1'}),0.0155908390380273,0.5854987276441704,0.0100713236084728,0.6459770114942528,1.1032936213088362,1.0,0.0009429071888027,1.1708315160700378,0.0951057444558435,0.0170406306852637,0.1459061476611455,0.3315891423778805
"frozenset({'Very Low', 'Unhealthy', 'Very Hight', '10.0', 'No'})","frozenset({'Yes', '1'})",0.0167019103257947,0.5434572237554209,0.0107881437941292,0.6459227467811159,1.1885438605777163,1.0,0.0017113699770608,1.289387477151357,0.1613288309970957,0.0196372651356993,0.2244379461406748,0.3328868498793794
"frozenset({'Very Hight', '5.0', ""'More than 8 hours'""})","frozenset({'Yes', '1'})",0.0368445575427404,0.5434572237554209,0.0237984301637934,0.6459143968871596,1.1885284961781073,1.0,0.0037749892111188,1.289357071372053,0.1646914379506639,0.0427642171700908,0.2244196567395697,0.3448526017278903
"frozenset({'Very Low', 'Male', 'Very Hight', '4.0', 'Hight'})",frozenset({'1'}),0.0356259632271244,0.5854987276441704,0.0230099279595713,0.6458752515090543,1.1031198207856343,1.0,0.0021509718189919,1.1704950702320869,0.0969335128833631,0.0384707574304889,0.1456606478473087,0.3425874788397377
"frozenset({'Very Low', ""'Less than 5 hours'"", '5.0', 'No'})","frozenset({'Yes', '1'})",0.0430092111393856,0.5434572237554209,0.0277767821941865,0.6458333333333334,1.1883793334652335,1.0,0.0044031157124653,1.289061956455282,0.1656419778889518,0.0497177315884013,0.2242420971371749,0.348472295500011
"frozenset({'Female', '4.0'})",frozenset({'1'}),0.1106053546467868,0.5854987276441704,0.071431131500663,0.6458198314970837,1.1030251664177355,1.0,0.0066718370843371,1.1703119181062125,0.105017915312904,0.1143496471398244,0.1455269449719093,0.3839101606065242
"frozenset({'Very Low', ""'5-6 hours'"", 'Male', 'Yes'})",frozenset({'1'}),0.0755886885774703,0.5854987276441704,0.0488154546432027,0.6458036984352774,1.1029976120251392,1.0,0.0045583736568024,1.1702586123138483,0.1010153406171774,0.0797283849440964,0.1454880233499935,0.3645889207161695
"frozenset({'Low', 'Male', '4.0', 'Yes', 'Healthy'})",frozenset({'1'}),0.0200351241890971,0.5854987276441704,0.0129386043510985,0.6457960644007155,1.102984573509082,1.0,0.0012080646301891,1.1702333901359023,0.0952779110035578,0.0218337970243135,0.1454696059528199,0.3339472486548141
"frozenset({'Very Low', 'Moderate', '4.0', 'Yes', 'No', 'Hight'})",frozenset({'1'}),0.0200351241890971,0.5854987276441704,0.0129386043510985,0.6457960644007155,1.102984573509082,1.0,0.0012080646301891,1.1702333901359023,0.0952779110035578,0.0218337970243135,0.1454696059528199,0.3339472486548141
"frozenset({'Low', ""'Less than 5 hours'"", '5.0', 'Yes', 'Female'})","frozenset({'Very Low', '1'})",0.022257266764632,0.4594458979964876,0.0143722447224113,0.6457326892109501,1.405459689654007,1.0,0.0041462348067876,1.5258368061099143,0.2950561645739025,0.0307538921696449,0.3446219176286114,0.3385071902252581
"frozenset({'Very Low', 'Yes', '6.0'})",frozenset({'1'}),0.0517902584136769,0.5854987276441704,0.0334396616608723,0.6456747404844291,1.1027773588550476,1.0,0.0031165312553017,1.1698326924886209,0.0982890639913841,0.0553774928774928,0.1451769074151367,0.3513939324361421
"frozenset({'3.0', '5.0'})",frozenset({'1'}),0.0210386724490161,0.5854987276441704,0.0135837425181893,0.645655877342419,1.1027451416338658,1.0,0.0012656265679678,1.169770417658038,0.0951745004784579,0.0229086073500967,0.1451313993714512,0.3344280855859989
"frozenset({'Very Hight', '4.0'})",frozenset({'1'}),0.1568760976309093,0.5854987276441704,0.1012866922332532,0.6456477039067855,1.102731181850099,1.0,0.0094359366725732,1.16974343591326,0.1104946441290838,0.1579918376474534,0.1451116806487871,0.4093199342256748
"frozenset({'Very Low', ""'7-8 hours'"", 'Moderate', '4.0'})",frozenset({'1'}),0.0187090068456327,0.5854987276441704,0.0120784201283108,0.6455938697318008,1.102639236005569,1.0,0.0011243204247067,1.1695657522688814,0.0948597893314886,0.0203982809757278,0.144981803665108,0.3331115773732461
"frozenset({'Very Low', '12.0', 'Moderate'})",frozenset({'1'}),0.0328662055123472,0.5854987276441704,0.0212178774954302,0.6455834242093784,1.1026213956210742,1.0,0.0019747559854591,1.169531282308602,0.0962332032595893,0.0355320809075085,0.1449566034471135,0.3409112028000859
"frozenset({'Very Low', 'Low', 'Yes', 'Female', '3.0', 'Hight'})",frozenset({'1'}),0.0226515178667431,0.5854987276441704,0.0146231317873911,0.6455696202531646,1.102597819214223,1.0,0.0013606968972038,1.1694857327182333,0.0952075868669371,0.0246376811594202,0.1449233008805486,0.3352725672274638
"frozenset({'Very Low', 'Low', 'Male', '6.0', 'Yes'})",frozenset({'1'}),0.0186014838177843,0.5854987276441704,0.0120067381097451,0.6454720616570329,1.102431194435166,1.0,0.0011155930021388,1.1691639149601936,0.0946750071132905,0.0202784503631961,0.1446879370767725,0.3329894588402696
"frozenset({'12.0', ""'7-8 hours'""})","frozenset({'Yes', '1'})",0.0304290168811153,0.5434572237554209,0.0196408730869861,0.6454652532391049,1.1877020398749762,1.0,0.0031040040511683,1.2877236446234142,0.1629978516638948,0.0354371443352302,0.2234358636068664,0.3408029293300978
"frozenset({'Low', ""'Less than 5 hours'"", 'Male'})",frozenset({'1'}),0.1131142252965843,0.5854987276441704,0.0730081359091072,0.6454372623574144,1.1023717591230546,1.0,0.006779900919501,1.1690491649285055,0.1047090931328713,0.1167000859352621,0.1446039824499973,0.3850655949397258
"frozenset({'Yes', 'Low', ""'7-8 hours'"", 'Moderate'})",frozenset({'1'}),0.0500340489588186,0.5854987276441704,0.032292749363822,0.6454154727793696,1.1023345437082022,1.0,0.0029978773595476,1.1689773256742182,0.0977239023232062,0.0535321727764244,0.144551414268672,0.3502848666541314
"frozenset({'Very Low', 'Male', 'Very Hight', '4.0', 'Yes', 'No'})",frozenset({'1'}),0.0320418622988423,0.5854987276441704,0.0206802623561879,0.6454138702460849,1.1023318066684633,1.0,0.001919792748866,1.1689720425429384,0.0959051055445602,0.034648411697592,0.1445475480964993,0.3403673171014949
"frozenset({'Very Low', 'Low', ""'Less than 5 hours'"", 'Unhealthy', 'Male', 'No'})",frozenset({'1'}),0.0202143292355112,0.5854987276441704,0.0130461273789469,0.6453900709219857,1.1022911587165969,1.0,0.0012106633313747,1.1688935880434392,0.0947132393523731,0.0220125786163522,0.1444901313267898,0.3338360736588381
